threshold,flagged,recall,precision,f1,expected_profit
0.5,2143,0.7725752508361204,0.5389640690620625,0.6349642660802639,243707.86000000004
0.51,2105,0.7625418060200669,0.5415676959619953,0.6333333333333333,241361.53999999992
0.52,2062,0.7551839464882943,0.5475266731328807,0.6348046106269328,240531.57999999996
0.53,2025,0.7478260869565218,0.5520987654320988,0.6352272727272728,239697.89999999997
0.54,1978,0.737123745819398,0.5571284125379171,0.6346098473941837,237220.71999999997
0.55,1917,0.7250836120401338,0.5654668753260302,0.6354044548651817,235653.48000000004
0.56,1864,0.7130434782608696,0.5718884120171673,0.6347127121167014,233743.42000000004
0.57,1813,0.7063545150501672,0.5824600110314396,0.6384522370012092,233053.06
0.58,1759,0.6923076923076923,0.588402501421262,0.636140135218193,230453.32
0.59,1706,0.6795986622073579,0.5955451348182884,0.6348016244923461,228413.12000000005
0.6,1649,0.6648829431438127,0.6027895694360218,0.6323155216284987,225013.7
0.61,1605,0.6575250836120401,0.6124610591900311,0.6341935483870967,223475.51999999996
0.62,1548,0.6381270903010033,0.6162790697674418,0.6270128162997043,218437.2
0.63,1506,0.6247491638795987,0.6201859229747676,0.6224591802732422,213960.18
0.64,1474,0.6153846153846154,0.6241519674355496,0.6197372852812395,211373.08000000002
0.65,1424,0.6040133779264214,0.6341292134831461,0.6187050359712231,208085.42000000004
0.66,1379,0.5919732441471572,0.6417693981145758,0.615866388308977,204671.17999999993
0.67,1339,0.5785953177257525,0.6460044809559373,0.6104446012702893,200370.03999999998
0.68,1292,0.5618729096989966,0.6501547987616099,0.6027987082884823,195228.68000000002
0.69,1247,0.5471571906354515,0.6559743384121892,0.5966447848285923,190318.28000000003
0.7,1204,0.5317725752508361,0.6602990033222591,0.5891070766950722,185622.46
0.71,1151,0.5150501672240803,0.6689834926151172,0.582010582010582,180367.81999999998
0.72,1093,0.4889632107023411,0.6688014638609332,0.5649149922720247,171526.54
0.73,1021,0.46488294314381273,0.6807051909892262,0.5524642289348172,164196.75999999998
0.74,957,0.43812709030100333,0.6844305120167189,0.534257748776509,155383.86
0.75,895,0.4133779264214047,0.6905027932960894,0.5171548117154812,147705.16
0.76,827,0.3859531772575251,0.6977025392986699,0.49698535745047373,139972.94
0.77,770,0.3625418060200669,0.7038961038961039,0.4785871964679912,132671.3
0.78,721,0.34247491638795985,0.710124826629681,0.4620938628158845,125915.31999999998
0.79,659,0.3177257525083612,0.7207890743550834,0.44103992571959144,117796.16
0.8,611,0.30434782608695654,0.7446808510638298,0.43209876543209874,113919.19999999998
0.81,565,0.28695652173913044,0.7592920353982301,0.41650485436893203,108494.08
0.82,522,0.2662207357859532,0.7624521072796935,0.39464551313832424,101199.59999999999
0.83,479,0.24882943143812708,0.7766179540709812,0.3768996960486322,94999.88
0.84,426,0.22675585284280936,0.795774647887324,0.35294117647058826,87423.77999999998
0.85,387,0.20869565217391303,0.8062015503875969,0.33156216790648246,80201.15999999999
0.86,336,0.18193979933110369,0.8095238095238095,0.2971054068814855,69748.14
0.87,292,0.16387959866220736,0.839041095890411,0.2742025741466144,62868.46000000001
0.88,241,0.13846153846153847,0.8589211618257261,0.23847926267281105,53603.44
0.89,201,0.11705685618729098,0.8706467661691543,0.20636792452830188,45227.82000000001
0.9,165,0.09565217391304348,0.8666666666666667,0.172289156626506,36623.27999999999
0.91,121,0.07224080267558529,0.8925619834710744,0.13366336633663367,27607.36
0.92,78,0.046153846153846156,0.8846153846153846,0.08773045136681501,17753.460000000003
0.93,34,0.017391304347826087,0.7647058823529411,0.034009156311314584,7092.699999999999
0.94,13,0.006688963210702341,0.7692307692307693,0.013262599469496022,2823.34
0.95,3,0.002006688963210702,1.0,0.004005340453938585,910.1999999999999
